i:-i: 1.353 0.777
i:-I 1.0722 0.88966
i:-E 0.79788 0.94162
i:-@ 0.76354 0.75581
i:-^ 1.0375 1.1248
i:-u 1.3164 0.93263
i:-U 1.2645 0.92456
i:-A 1.1984 0.72091
i:-> 1.5151 0.81048
i:-3r 1.5613 1.2714
i:-ei 1.4399 0.92387
i:->i 1.1331 0.92059
i:-iU 1.3685 1.2406
i:-aU 1.4105 0.85666
i:-oU 1.1152 0.89518
i:-p 1.2079 1
i:-t 0.8954 1
i:-d 0.87114 1
i:-g 0.8733 1
i:-m 0.95469 0.67377
i:-n 1.0549 0.77764
i:-N 0.91756 0.65316
i:-s 1.1255 1
i:-S 1.128 1
i:-h 1.1541 1
i:-l 1.0374 0.87302
i:-9r 1.1084 1.1512
i:-j 1.1874 0.4681
i:-w 1.0791 1.2297
k-i: 1 1.1511
m-i: 0.83086 0.97346
N-i: 0.79743 0.90352
h-i: 1 1.3277
v-i: 1 1.1532
z-i: 1 1.1372
tS-i: 1 0.89614
l-i: 1.6268 0.9757
9r-i: 2.8529 0.97634
j-i: 1.6414 1.0299
w-i: 1.4264 1.0211
pau-i: 1 1.3164
i:-pau 0.89965 1
I-i: 1.1672 1.002
I-E 1.2003 1.224
I-@ 1.1395 0.84335
I-^ 1.2697 1.2342
I-u 1.8443 1.2642
I-U 1.1247 0.99551
I-A 1.3361 0.99077
I-> 1.5588 0.90813
I-3r 1.9899 1.199
I-ei 1.7389 1.0673
I-aI 2.3246 1.1499
I->i 1.8724 0.94267
I-iU 2.0051 1.4135
I-aU 2.3747 1.0054
I-t 0.83077 1
I-b 1.1138 1
I-d 1.15 1
I-m 1.0429 0.70839
I-n 1.124 0.91342
I-N 1.2294 0.78181
I-f 1.1131 1
I-T 0.7632 1
I-s 0.79496 1
I-h 0.74327 1
I-D 0.80578 1
I-z 0.85548 1
I-tS 0.83687 1
I-dZ 0.8112 1
I-9r 1.1941 1.0925
I-w 0.82551 0.64753
d-I 1 0.77258
m-I 0.81653 0.93836
N-I 1.1767 1.1034
S-I 1 0.90328
h-I 1 1.1326
z-I 1 1.1782
tS-I 1 0.82717
dZ-I 1 0.83649
l-I 1.5866 1.0001
9r-I 2.9854 1.0056
j-I 1.3903 0.8996
w-I 1.3901 0.83069
pau-I 1 0.73538
I-pau 0.80103 1
E-i: 1.1181 0.82112
E-I 1.451 0.80477
E-E 1.179 0.93483
E-@ 0.95605 0.73147
E-^ 0.98203 1.2504
E-u 1.3996 0.91242
E-U 1.3331 0.85895
E-A 1.4287 0.80612
E-> 1.171 0.75374
E-3r 1.5161 0.92889
E-ei 1.2825 0.77426
E-aI 1.7509 1.0644
E->i 1.5606 0.81054
E-iU 1.6193 0.89465
E-aU 0.87179 0.7485
E-oU 1.4174 0.77267
E-p 0.87065 1
E-t 0.87407 1
E-k 0.88338 1
E-d 0.85071 1
E-g 0.89006 1
E-m 0.9119 0.57387
E-n 0.97455 0.70485
E-N 0.98197 0.67054
E-f 0.84125 1
E-D 0.90392 1
E-z 1.1363 1
E-Z 1.1048 1
E-l 1.0211 0.79132
E-9r 0.9828 1.4775
E-j 0.99993 0.45014
E-w 0.8937 1.0993
t-E 1 0.8862
b-E 1 0.84599
d-E 1 0.86646
m-E 1.6277 0.98052
n-E 0.85889 0.99552
N-E 0.82958 0.90155
tS-E 1 1.1382
l-E 1.1161 0.95923
9r-E 1.447 0.93218
j-E 1.458 0.96982
w-E 0.76299 1.0291
pau-E 1 1.1291
E-pau 1.2612 1
@-i: 1.2324 0.97489
@-I 1.6838 0.84418
@-E 1.0915 1.3458
@-@ 1.1836 1.0483
@-^ 1.1135 1.5032
@-u 1.5393 1.2159
@-U 1.3323 1.1642
@-3r 1.2043 1.169
@-ei 1.2659 1.1028
@-aI 1.0905 1.4158
@->i 1.1386 1.0975
@-iU 1.2606 1.2601
@-aU 1.1888 1.3445
@-oU 1.2891 1.1539
@-p 1.2762 1
@-k 1.1591 1
@-g 1.1665 1
@-m 1.0259 0.772
@-n 1.2628 0.85849
@-N 1.3088 0.89649
@-f 1.1528 1
@-T 1.2646 1
@-s 1.1238 1
@-v 1.2195 1
@-D 1.4667 1
@-tS 0.87397 1
@-9r 1.1272 1.0906
@-j 1.1962 0.76193
@-w 1.0639 1.4525
p-@ 1 0.89405
k-@ 1 0.88717
b-@ 1 0.8332
g-@ 1 0.79302
m-@ 0.7638 0.93126
f-@ 1 0.85787
s-@ 1 0.79405
S-@ 1 0.88888
v-@ 1 0.82802
z-@ 1 1.1131
l-@ 0.81877 0.844
9r-@ 1.4487 0.85854
j-@ 0.87374 0.79281
w-@ 3 0.87395
