i:-i: 1.229 0.8786
i:-I 1.3203 0.96712
i:-E 1.6946 1.0144
i:-@ 2.0614 0.92931
i:-^ 1.2179 1.005
i:-u 1.3077 0.98757
i:-U 1.1071 0.76438
i:-> 1.187 1.1712
i:-3r 1.193 0.99744
i:-ei 1.2033 1.1593
i:-aI 1.2393 1.0678
i:->i 1.2335 1.1298
i:-iU 1.3088 0.98355
i:-aU 1.3108 1.0285
i:-oU 1.3765 1.0581
i:-p 0.81773 1
i:-k 0.89327 1
i:-g 0.86771 1
i:-m 0.80538 0.75482
i:-n 0.78227 0.7473
i:-N 0.91439 0.85729
i:-f 0.87402 1
i:-T 0.89206 1
i:-s 0.87832 1
i:-S 0.84912 1
i:-h 0.88543 1
i:-D 0.88405 1
i:-l 1.1187 1.0021
i:-9r 0.87501 1.317
i:-j 1.137 1.1237
i:-w 1.0153 1.4308
m-i: 1.0386 0.88205
N-i: 0.97546 0.89733
f-i: 1 0.90451
s-i: 1 1.1131
Z-i: 1 0.88446
tS-i: 1 0.7948
l-i: 1.1022 0.99981
9r-i: 3 1.0123
j-i: 2.2316 1.131
w-i: 1.0477 1.1139
i:-pau 1.1911 1
I-i: 1.3301 1.1784
I-I 1.1765 1.0219
I-E 2.5034 0.96407
I-@ 1.0277 1.201
I-^ 0.66675 1.0188
I-u 1.2971 1.3723
I-U 1.4781 1.4386
I-A 1.3316 1.2739
I-3r 1.4643 1.4132
I-ei 1.2207 1.4685
I-aI 1.3185 1.3652
I->i 1.1208 1.5166
I-aU 1.0433 1.3398
I-oU 1.0328 1.1016
I-p 0.77124 1
I-t 0.89878 1
I-k 0.90759 1
I-m 0.80708 0.83294
I-n 0.83387 0.85751
I-N 0.94591 0.85169
I-f 0.85263 1
I-T 0.89643 1
I-9r 1.0812 2.0772
I-j 1.174 1.1693
I-w 1.2308 1.5998
p-I 1 0.78745
t-I 1 0.85805
d-I 1 1.1131
m-I 1.2297 0.99215
n-I 1.2463 1.0878
N-I 1.1661 0.92019
s-I 1 1.1895
l-I 1.1207 1.0315
9r-I 2.3917 0.9969
j-I 2.2011 1.1175
w-I 1.1356 0.98987
E-i: 1.4148 1.217
E-I 1.1729 0.93872
E-E 1.2719 0.92453
E-@ 1.3417 0.79312
E-^ 1.1724 0.79044
E-u 1.4143 1.0244
E-U 1.3957 0.83779
E-A 1.4573 0.90066
E-3r 1.2356 0.96558
E-ei 1.3598 1.1133
E-aI 1.3751 0.97726
E->i 1.1933 1.1037
E-iU 1.4577 1.1161
E-aU 1.526 1.1805
E-oU 1.2504 1.0873
E-p 0.9062 1
E-m 1.0046 0.88776
E-n 1.0308 0.85847
E-N 1.129 0.89206
E-S 0.87602 1
E-D 0.88448 1
E-l 0.83267 0.95827
E-9r 0.85695 1.1931
E-w 0.85953 1.0665
p-E 1 0.81421
t-E 1 0.87805
k-E 1 0.90587
N-E 1.0463 1.1406
tS-E 1 0.84545
9r-E 2.4307 0.98124
@-i: 1.1892 1.3058
@-I 1.5504 0.96439
@-E 1.3501 1.0344
@-@ 2.0795 1.1102
@-u 1.2727 1.1503
@-U 1.3132 0.92708
@-A 1.1782 1.1667
@-> 0.94429 0.89754
@-3r 1.1947 0.91949
@-ei 1.3158 1.332
@-aI 1.3107 1.2004
@->i 1.1512 1.3251
@-iU 1.1577 1.206
@-aU 0.86493 1.0908
@-oU 0.97993 1.1139
@-g 0.88288 1
@-S 0.8228 1
@-tS 0.90142 1
@-9r 0.81536 1.0223
@-j 0.88567 1.036
@-w 0.88745 1.2039
p-@ 1 0.82037
t-@ 1 0.82961
k-@ 1 0.87378
m-@ 1.484 0.91712
n-@ 1.4758 0.98874
N-@ 1.6201 1.1405
T-@ 1 1.1354
s-@ 1 1.244
D-@ 1 1.1567
z-@ 1 1.2188
l-@ 1.1099 0.87938
9r-@ 3 0.89176
j-@ 1.6388 0.78231
w-@ 1.2909 0.86189
@-pau 0.8784 1
^-i: 1.1264 1.1051
^-I 1.5201 0.9952
^-E 1.4668 0.85432
^-@ 1.384 0.90979
^-^ 0.91601 0.85459
^-u 1.6039 1.0736
^-U 1.6377 0.85356
^-> 1.3016 1.0477
^-3r 1.2525 0.92364
^-ei 1.2066 1.1882
^->i 1.2612 1.3658
^-iU 1.4782 1.1811
^-aU 1.3605 1.1465
^-oU 1.2695 1.0435
^-n 1.1722 0.83423
^-T 0.84985 1
^-s 0.90891 1
^-h 1.1238 1
^-v 0.87412 1
^-z 0.77702 1
^-dZ 0.84702 1
^-l 0.91864 0.87708
^-9r 0.87921 0.94871
^-j 1.0156 0.87154
^-w 0.79003 1.0653
p-^ 1 0.85406
b-^ 1 0.89665
n-^ 1.2086 1.1088
N-^ 1.0724 1.2572
s-^ 1 1.171
h-^ 1 1.1017
dZ-^ 1 0.90747
l-^ 1.2326 0.92041
9r-^ 2.0349 1.0768
j-^ 1.4562 1.155
w-^ 1.5445 1.0521
&-m 1 1.2934
&-n 1 1.1093
&-N 1 1.2894
&-l 1 1.2051
&-9r 1 1.4336
&-j 1 1.1875
&-w 1 1.4284
n-& 0.90088 1
9r-& 1.2908 1
w-& 0.80822 1
u-i: 1.242 0.90267
u-I 1.1239 0.69606
u-E 1.1723 0.82087
u-@ 1.1973 0.68306
u-^ 1.0811 0.80131
u-u 1.4013 0.96654
u-U 1.1722 0.6908
u-A 1.1699 0.73173
u-> 1.3333 0.94769
u-3r 1.3659 0.83666
u-ei 1.274 0.84745
u-aI 1.5921 0.91274
u->i 1.3773 1.0591
u-iU 1.2967 0.9465
u-aU 1.2856 1.2119
u-oU 1.2522 0.93341
u-p 0.83676 1
u-t 0.89659 1
u-b 0.85123 1
u-g 1.1193 1
u-m 0.87209 0.94465
u-n 0.88377 0.9371
u-N 0.81726 0.97036
u-f 0.82607 1
u-T 0.88834 1
u-S 0.81976 1
u-h 0.86136 1
u-v 0.86825 1
u-tS 0.8612 1
u-dZ 0.8527 1
u-l 0.88457 0.90535
u-9r 0.97264 1.3598
u-j 0.9495 0.89136
u-w 0.82027 0.95825
n-u 1.1924 1.0176
s-u 1 1.2068
z-u 1 1.1808
l-u 1.5241 0.9807
9r-u 2.2982 1.0212
j-u 1.4106 1.0965
w-u 1.3333 1.0373
u-pau 1.1219 1
U-i: 1.2941 1.3312
U-E 1.2366 1.0364
U-@ 1.2742 1.0402
U-^ 1.1384 1.2363
U-u 1.2111 1.2447
U-U 1.5274 1.1871
U-A 1.19 1.2586
U-> 1.2667 1.4013
U-3r 1.4408 1.3221
U-ei 1.3005 1.396
U-aI 1.0321 1.1128
U->i 1.0957 1.3089
U-iU 1.2692 1.2152
U-aU 1.1166 1.5131
U-oU 1.1304 1.0053
U-p 0.87034 1
U-t 0.84953 1
U-b 0.90137 1
U-d 1.1719 1
U-h 0.88559 1
U-l 1.0265 1.1367
U-9r 0.9064 1.2397
U-j 1.1055 0.99997
U-w 0.97696 1.5254
N-U 0.92266 1.1228
h-U 1 1.1194
dZ-U 1 1.2087
l-U 1.023 0.8998
9r-U 2.7185 0.95274
w-U 1.5462 0.89891
A-I 0.873 1.1624
A-@ 1.2372 1.0429
A-^ 1.2077 1.1155
A-u 1.0789 1.2456
A-U 1.3537 0.9447
A-A 1.4709 0.96033
A-> 1.4949 1.1697
A-3r 1.3895 0.93869
A-ei 1.1815 1.1276
A-aI 1.4001 1.1256
A->i 1.3277 1.2994
A-iU 1.1622 0.93667
A-aU 1.7127 1.0772
A-oU 1.3997 0.99019
A-k 0.88622 1
A-m 0.89713 1.0678
A-s 0.85298 1
A-S 0.88796 1
A-v 0.88345 1
A-9r 0.97269 1.1733
A-w 0.90135 0.86094
g-A 1 1.1888
s-A 1 1.1704
S-A 1 1.15
tS-A 1 1.1994
dZ-A 1 1.1064
9r-A 1.1151 0.84251
w-A 1.5218 0.97899
pau-A 1 1.1086
A-pau 1.1701 1
>-i: 0.7706 0.96007
>-I 0.95996 0.80842
>-E 0.79991 1.0477
>-@ 1.6593 0.70126
>-^ 1.1598 0.81084
>-u 1.4064 0.91756
>-U 1.0126 0.66908
>-A 0.76448 0.99306
>-> 1.231 0.81366
>-ei 1.0005 1.1724
>-aI 1.0647 1.2144
>-iU 0.75152 1.0328
>-aU 1.1513 1.0128
>-oU 0.9847 0.81646
>-p 0.78815 1
>-t 0.90651 1
>-k 0.83852 1
>-b 0.75389 1
>-d 0.80691 1
>-g 0.83512 1
>-m 0.90643 0.91385
>-n 0.96375 0.90803
>-T 0.83149 1
>-s 0.86417 1
>-v 0.76669 1
>-D 0.8473 1
>-l 0.93458 0.79824
>-9r 0.8861 1.1997
>-j 0.92483 0.84572
>-w 0.85726 0.85386
g-> 1 1.1527
m-> 1.325 0.99577
n-> 1.2956 1.0071
N-> 1.368 1.102
S-> 1 1.1357
v-> 1 0.89983
z-> 1 0.85072
Z-> 1 0.79503
l-> 1.1323 0.96025
9r-> 1.2394 1.1308
j-> 1.3077 1.0275
w-> 1.9317 0.97317
pau-> 1 0.83838
3r-i: 1.1892 0.93424
3r-I 1.2975 0.78927
3r-E 1.3692 0.76636
3r-@ 1.0778 0.84642
3r-^ 1.4056 0.78124
3r-u 1.3425 0.91653
3r-U 1.3458 0.72124
3r-A 1.1969 0.94308
3r-> 1.4819 0.88459
3r-3r 1.3099 0.87341
3r-ei 1.2741 0.93632
3r-aI 1.3737 0.91029
3r->i 1.6068 1.1928
3r-aU 1.3544 0.99251
3r-oU 1.404 1.0246
3r-p 0.8386 1
3r-t 0.81249 1
3r-k 0.8512 1
3r-b 0.89636 1
3r-d 0.8992 1
3r-m 0.91938 0.84795
3r-n 0.87128 0.75781
3r-N 0.79747 0.8708
3r-z 0.89743 1
3r-Z 0.89979 1
3r-tS 0.89911 1
3r-l 1.0373 0.83679
3r-j 1.0538 0.87106
3r-w 0.90788 0.82059
g-3r 1 1.1399
T-3r 1 1.1414
s-3r 1 1.1421
h-3r 1 0.81326
D-3r 1 1.2924
l-3r 1.0894 0.88874
9r-3r 0.77495 1.2757
w-3r 0.88702 0.86456
ei-i: 1.1556 0.94997
ei-I 1.1414 0.80652
ei-E 1.1278 0.8038
ei-@ 1.2631 0.81771
ei-^ 1.0008 0.79066
ei-u 1.3368 0.98841
ei-U 1.1101 0.85779
ei-3r 1.3205 0.91933
ei-ei 1.2475 0.97859
ei-aU 1.0967 1.1783
ei-oU 1.1573 0.94349
ei-p 0.83143 1
ei-t 0.86927 1
ei-k 0.90059 1
ei-n 1.0712 0.81214
ei-N 1.0443 0.8881
ei-f 0.83893 1
ei-T 0.8453 1
ei-s 0.88187 1
ei-S 0.83444 1
ei-h 0.90483 1
ei-v 0.90778 1
ei-z 0.90289 1
ei-9r 0.90595 1.3097
ei-j 0.91643 0.90499
ei-w 0.88165 1.094
m-ei 1.1373 1.1415
n-ei 1.228 0.99922
N-ei 1.1247 1.1477
T-ei 1 1.1085
s-ei 1 1.1988
D-ei 1 1.116
z-ei 1 1.2247
tS-ei 1 1.1247
l-ei 0.97044 0.89621
9r-ei 1.5036 0.91062
j-ei 2.2188 0.98864
w-ei 1.2268 0.85128
aI-i: 0.78362 0.86986
aI-I 1.2018 0.91464
aI-E 1.3203 1.0134
aI-@ 1.1351 1.0196
aI-^ 1.1202 0.96689
aI-u 1.0387 1.1076
aI-U 1.1056 0.93967
aI-A 1.1382 1.1607
aI-ei 1.2557 0.99431
aI-aI 1.1281 0.96888
aI->i 0.90226 0.96633
aI-iU 1.017 1.2007
aI-aU 0.88148 0.90049
aI-oU 0.8794 0.88953
aI-p 0.87328 1
aI-t 0.79299 1
aI-n 1.0489 0.85865
aI-f 0.9058 1
aI-T 0.90062 1
aI-j 1.0319 0.82405
aI-w 0.96171 0.76906
b-aI 1 0.85125
g-aI 1 1.102
m-aI 1.335 1.0897
n-aI 1.1949 0.9976
N-aI 1.2837 1.146
s-aI 1 1.2025
S-aI 1 1.1587
l-aI 0.96296 0.8988
9r-aI 1.7171 0.98921
w-aI 1.7116 1.1229
>i-i: 0.94914 1.4001
>i-E 1.0028 0.86899
>i-^ 1.121 0.91497
>i-u 1.3469 0.99239
>i-U 1.2981 0.88134
>i-A 1.0068 1.2067
>i-> 0.98627 1.1374
>i-ei 1.0523 1.143
>i-aI 1.3975 1.2521
>i->i 0.78962 0.8958
>i-iU 1.3194 1.0418
